182.64 mm,277.80 mm,0,884
182.08 mm,192.39 mm,1,885
181.76 mm,107.26 mm,2,886
481.80 mm,277.74 mm,3,888
392.80 mm,74.74 mm,77,889
481.80 mm,192.24 mm,4,890
481.80 mm,107.24 mm,5,891
413.80 mm,74.74 mm,78,892
392.75 mm,95.56 mm,68,893
412.96 mm,95.04 mm,69,894
432.80 mm,194.74 mm,50,895
452.14 mm,194.74 mm,51,896
452.14 mm,214.74 mm,43,897
432.80 mm,214.74 mm,42,898
322.30 mm,224.24 mm,39,899
344.30 mm,224.24 mm,40,900
344.30 mm,244.74 mm,34,901
322.30 mm,245.74 mm,33,902
369.30 mm,279.74 mm,27,903
391.80 mm,279.93 mm,28,904
391.30 mm,300.74 mm,16,905
369.30 mm,300.74 mm,15,906
212.12 mm,274.75 mm,20,907
192.80 mm,276.24 mm,19,908
193.17 mm,333.58 mm,6,909
250.30 mm,333.24 mm,7,910
272.30 mm,304.74 mm,12,911
282.30 mm,285.24 mm,23,912
279.80 mm,224.24 mm,38,913
253.00 mm,274.62 mm,21,914
275.30 mm,274.62 mm,22,915
322.14 mm,333.74 mm,8,916
322.14 mm,303.24 mm,13,917
305.25 mm,245.74 mm,32,918
302.14 mm,273.74 mm,24,919
322.14 mm,275.24 mm,25,920
344.30 mm,332.57 mm,9,921
350.21 mm,300.74 mm,14,922
353.80 mm,265.24 mm,26,923
369.30 mm,234.56 mm,35,924
405.77 mm,276.40 mm,29,925
426.29 mm,255.46 mm,36,926
450.30 mm,254.74 mm,37,927
472.14 mm,230.88 mm,45,928
470.46 mm,274.42 mm,31,929
453.58 mm,230.87 mm,44,930
411.92 mm,300.15 mm,17,931
436.71 mm,275.67 mm,30,932
431.30 mm,291.90 mm,18,933
428.73 mm,331.24 mm,10,934
471.30 mm,331.24 mm,11,935
416.30 mm,209.24 mm,41,936
471.65 mm,191.72 mm,52,937
471.30 mm,105.74 mm,71,938
192.33 mm,55.46 mm,79,939
192.96 mm,76.92 mm,72,940
239.00 mm,78.58 mm,73,941
226.50 mm,100.87 mm,66,942
193.37 mm,101.08 mm,65,943
193.17 mm,124.83 mm,59,944
263.74 mm,124.83 mm,60,945
268.44 mm,144.24 mm,58,946
232.63 mm,144.56 mm,57,947
232.47 mm,163.92 mm,53,948
297.80 mm,161.98 mm,54,949
