284.30 mm,400.34 mm,0,822
584.30 mm,394.94 mm,3,825
284.37 mm,310.34 mm,1,826
284.30 mm,220.11 mm,2,827
584.30 mm,310.74 mm,4,853
584.30 mm,225.17 mm,5,854
299.30 mm,305.34 mm,6,855
321.30 mm,305.34 mm,7,856
321.30 mm,282.60 mm,8,858
361.97 mm,360.34 mm,9,859
387.74 mm,360.34 mm,10,860
387.74 mm,382.84 mm,11,861
441.67 mm,386.34 mm,12,862
441.67 mm,360.34 mm,13,863
469.35 mm,390.34 mm,14,864
469.35 mm,419.38 mm,15,865
469.35 mm,444.80 mm,16,866
439.37 mm,445.34 mm,17,867
439.37 mm,420.34 mm,18,868
497.30 mm,444.80 mm,19,869
521.60 mm,445.34 mm,20,870
498.30 mm,418.84 mm,21,871
321.80 mm,220.11 mm,22,872
321.80 mm,195.34 mm,23,873
346.29 mm,211.84 mm,24,874
416.30 mm,255.84 mm,25,875
442.13 mm,255.84 mm,26,1051
416.30 mm,280.84 mm,28,1052
441.74 mm,281.84 mm,27,1053
471.87 mm,288.84 mm,29,1054
497.29 mm,288.84 mm,30,1055
472.30 mm,255.82 mm,31,1056
497.29 mm,255.57 mm,32,1057
549.30 mm,225.17 mm,33,1058
572.26 mm,203.55 mm,34,1059
570.65 mm,224.35 mm,35,1060
296.58 mm,413.84 mm,36,1061
296.67 mm,445.34 mm,37,1062
346.86 mm,445.34 mm,39,1063
343.30 mm,423.84 mm,40,1064
319.65 mm,418.84 mm,38,1065
333.65 mm,398.84 mm,44,1066
368.97 mm,386.21 mm,45,1067
371.67 mm,444.47 mm,41,1068
394.03 mm,440.84 mm,42,1069
400.04 mm,418.84 mm,43,1070
338.71 mm,373.57 mm,46,1071
299.30 mm,368.84 mm,47,1072
351.57 mm,340.71 mm,49,1073
321.30 mm,338.34 mm,48,1074
349.27 mm,304.97 mm,50,1075
354.30 mm,272.84 mm,61,1076
396.65 mm,317.84 mm,62,1077
416.30 mm,220.37 mm,60,1078
360.14 mm,223.57 mm,56,1079
325.00 mm,251.00 mm,55,1080
351.29 mm,171.86 mm,57,1081
299.29 mm,220.43 mm,52,1082
299.00 mm,173.29 mm,53,1083
322.71 mm,171.29 mm,54,1084
296.58 mm,280.34 mm,51,1085
404.37 mm,195.84 mm,59,1086
381.81 mm,175.84 mm,58,1087
442.13 mm,172.84 mm,71,1088
514.30 mm,172.84 mm,70,1089
572.26 mm,172.84 mm,72,1090
507.30 mm,197.84 mm,69,1091
474.30 mm,197.84 mm,67,1092
474.30 mm,225.17 mm,66,1093
497.29 mm,225.17 mm,68,1094
546.81 mm,290.51 mm,73,1095
569.13 mm,294.94 mm,74,1096
441.67 mm,315.34 mm,63,1098
469.35 mm,315.64 mm,65,1099
469.35 mm,335.74 mm,64,1100
